,name,position,party,funding,image,Website,Donations,Facebook,Twitter,LinkedIn,YouTube,Biography,Statement
10,Tom Horne,Superintendent of Public Instruction,Republican,Traditional Funding,View Info,https://tomhorne.com,,,,,,,
11,Kevin Thompson,Corporation Commissioner,Republican,Participating,View Info,https://thompsonforcorpcomm.com,,https://www.facebook.com/ThompsonforCorpComm/,https://twitter.com/VoteKThompson,,https://youtu.be/SV4herebON4,,"Kevin’s public service began early. At the age of 19 he joined the U.S. Air Force and deployed to the Middle East for Operations Desert Shield and Desert Storm before being honorably discharged in 1996. Earning a degree in Mechanical Engineering from the University of Nevada, Las Vegas, Kevin moved to Mesa and worked for Southwest Gas, serving for 17 years in various capacities including engineering and government relations. Kevin then had the honor of serving Mesa residents on the City Council since 2015. He represented Arizona on the national stage as Chair of the National League of Cities Economic Development Committee, on the American Public Gas Associations Public Policy Committee, and as President of Arizona Municipal Water Users Association. Kevin is running for Corporation Commission to eliminate mandates and subsidies and encourage innovation in energy technologies. To maintain Arizona’s competitive edge to attract and grow businesses and residents, we must maintain an affordable and reliable energy grid. Learn more about Kevin’s plans for Arizona at https://thompsonforcorpcomm.com."
12,Lauren Kuby,Corporation Commissioner,Democratic,Participating,View Info,https://kennedykuby.com,,https://www.facebook.com/LaurenKubyAZ,https://twitter.com/laurenkuby,https://www.linkedin.com/company/lauren-kuby-for-az-corporation-commission,https://www.youtube.com/channel/UCOUNdkCkcIBCSl_oeqx49jA,,"The five-member Corporation Commission—the most important office no one knows about—regulates our electric, water, and gas utilities. I’m running for one of two seats to embrace a future where clean air and water—as well as clean, affordable, and reliable energy—are a given for every Arizonan, no matter their income. As Tempe’s vice mayor, I stood up to special interests and worked for consumer, environmental, and worker protections. As your commissioner, I will continue to represent the public interest. As an ASU sustainability scientist, I know that Arizona faces serious climate challenges – wildfires, extreme heat, air pollution, and historic drought. But with crisis comes opportunity. As the sunniest state in the nation, and with Congress finally investing in solutions, our state is poised to lead the clean energy transition. When elected, Sandra Kennedy and I will pass policies proven to reduce costs, build energy independence, and protect our water supply. On the other hand, our Republican opponents are science deniers and are even opposed to utilities offering valuable rebates for consumers to save money, energy, and water. Vote for BOTH Kennedy and Kuby. We will serve as corporate watchdogs, consumer champions, and solar advocates on the Commission. Vote for two."
13,Sandra Kennedy,Corporation Commissioner,Democratic,Participating,View Info,https://reelectkennedy.com,,,,,,,"I have always been your consumer advocate fighting for lower electric rates and more accountability from corporations, and now we can lock in the lowest possible electric rates while ushering in our new solar economy. Solar energy now costs one half to one third of natural gas or coal fired electricity, and will ALWAYS COST LESS. This really signals that Arizona is at the beginning of a sustained economic boom UNPRECEDENTED IN ARIZONA HISTORY, a SOLAR RENAISSANCE, as it becomes a national source of solar-powered electricity, producing endless amounts of energy and jobs, bringing unlimited prosperity to Arizona, while meanwhile LOWERING our electricity rates. The state constitution charges the Commission with providing reliable and affordable energy to Arizona, and only solar energy fills the bill.We can rapidly transform Arizona with rooftop solar incentives, community solar, and co-location of solar at closed and closing coal plants, ready to plug in to existing grid infrastructure while providing a lasting, just transition to these affected communities.If you want us to protect you, elect BOTH Lauren Kuby and Sandra Kennedy to the Corporation Commission, our Public Utilities Commission. Start at the bottom of the ballot and vote your way up. Reelectkennedy.com "
14,"Nicholas ""Nick"" Myers",Corporation Commissioner,Republican,Participating,View Info,https://www.nickmyers.us,https://go.azsos.gov/q23h,https://www.facebook.com/votenickmyers,https://twitter.com/votenickmyers,https://www.linkedin.com/in/nick-myers-165628a0/,https://youtu.be/7iovCawG7kA,"I am a husband and a father. I have been married to my lovely wife, Katerina, for 19 years. We have three daughters and have run a family business together for over a decade. Prior to being an entrepreneur, I spent almost 20 years writing software and managing software engineers in the corporate world working in the communications industry.","For the past six years, I have been on the frontlines fighting against empty promises, discrimination, irresponsible rate setting, corruption, and utilities refusing service at the Corporation Commission. Over time, it has become clear that Arizonans have had to deal with a Corporation Commission that neglects the people while some corporations enjoy free rein. Arizonans need someone with a proven track record who is willing to stand up for the people and proactively look out for their best interests. Arizona utility customers should never have connection issues. We should never need to fight abusive utility companies that force you to pay more than what is fair. As our next Corporation Commissioner, I’m committed to affordable and predictable utilities for all. I’m forward-looking and concerned about providing for our state as Arizona grows and expands. Gone are the days of sudden rate hikes. Gone are corporate interests calling the shots over Arizonans. It’s time to put us — the people of Arizona — first. Learn more about my plan for Arizona at www.nickmyers.us."
15,Ken Bennett,State Senator - District 1,Republican,Traditional Funding,View Info,https://www.kenbennettforsenate.com,,,,,,,"The best way to predict future performance is: past performance.  When the citizens of LD-1 asked me to be their State Senator in 1998, I fought for them using the conservative Constitutional principles they deserve.  We balanced the state budget eight years in a row – even during the post-9/11 recession.  We passed the largest tax cut in the history of the state, while putting more new money into education and public safety than ever before.  We spent less than the tax revenues we received and rebuilt the state’s savings account – the Rainy Day Fund - to over 1 Billion dollars.  We expanded parental choice for their children’s schools, and protected the sanctity of life and our 2nd Amendment rights.  Today, Arizona faces significant challenges again.  Our State retirement systems are under-funded by more than 20 Billion dollars! The federal government is failing to secure our border with Mexico.  Too many students are failing academically, and too many people question the integrity of our elections.  I promise to fight for you again to solve these and other problems as your Senator.  I humbly ask for your vote as we work together to make Arizona great again!"
16,Mike Fogel,State Senator - District 1,Democratic,Participating,View Info,https://cleanslateazld1.com,,https://cleanslateazld1.com/,https://twitter.com/CleanSlateAZLD1,,,,"I am running for AZ Senate LD 1 with the Clean Slate for Democracy to take corruption out of politics. I want to strengthen traditional public schools and voter rights, the bedrock institutions of our democratic republic.The three-decade defunding of Arizona’s public schools, which has placed us last in the US, must be reversed to achieve the following:• A comprehensive solution for P-20 education, including increasing access and affordability of PreK and higher education.• More resources going to schools to serve the students most in need (poverty/opportunity weight).• Funding that solves our next fiscal challenges when federal COVID relief funds dry up in 2024 or the Prop 123 triggers activate.• A long-term fix for the Aggregate Expenditure Limit.• A significant investment in special education.• Funding for full day kindergarten• Raising teacher pay to a competitive level.Efforts to place election outcomes in the hands of partisan groups must be stopped. Let’s empower voters so voting is easy and secure. We need to retain early voting.To create an economy that works for all of us, Arizona needs a fair tax structure to prevent structural deficits and balance the tax burden equitably."
17,Cathy Ransom,State Representative - District 1,Democratic,Participating,View Info,https://cleanslateazld1.com,,https://www.facebook.com/people/Clean-Slate-AZ-LD-1/100077970519523/,https://twitter.com/CleanSlateAZLD1,,,,"I am Cathy Ransom, an Arizona mom who knows our economy has not been working as hard for moms as moms work for our economy. As the business manager of a small business in the Verde Valley, I have witnessed how decades of one-party domination in the state legislature have failed rural Arizona. Water, Education, and Healthcare have all been neglected. That needs to change. Our economy is not working for essential workers, teachers, frontline workers and small business owners. Teachers and Nurses are leaving the state because they can’t afford to live here. I want the legislature to level the playing field and ensure we adequately invest in an equitable future for all of us. The Arizona legislature can help prepare the next generation for 21st century jobs by investing in our human infrastructure. Companies considering relocating to Arizona want an educated workforce and a solid healthcare system. It’s time for a new vision for Arizona’s future at the state capitol. As part of the Clean Slate for Democracy I will hold education, the environment and an economy that works for all of us as top priorities. Learn more at CleanSlateAZLD1.com"
18,Neil Sinclair,State Representative - District 1,Democratic,Participating,View Info,https://cleanslateazld1.com,,https://www.facebook.com/people/Clean-Slate-AZ-LD-1/100077970519523/,https://twitter.com/CleanSlateAZLD1,,,,"I am a husband, father, grandfather, and a solar energy entrepreneur. As the board chairman of Cybertran International I am focused on developing a zero carbon footprint mass transit system powered by the sun. Environmental crises, made worse by climate change, are part of a larger pattern that threatens our way of life. Arizona can play an important role in providing a solution to the challenges of climate change. To do this we need better legislative priorities and lawmakers who nurture innovation and support Arizona’s transition to clean energy.Developing sustainable clean energy technologies here in Arizona helps us attract new businesses. We can and should be leading the world in solar energy innovation. To attract innovators for high growth businesses, Arizona needs a modern, high-caliber public education system anchoring intelligent, motivated, creative individuals and their families. To seize this opportunity we need to properly fund public education. This is why funding education and addressing climate change will be my top legislative priorities and why I am running as a clean election candidate as part of the Clean Slate for Democracy to build a better future for all Arizonans.CleanSlateAZLD1.com"
19,Quang Nguyen,State Representative - District 1,Republican,Traditional Funding,View Info,https://quangforarizona.com,,https://www.facebook.com/QuangSpeaks/,,,,,"In 2020, I ran for office as an America First Constitutional Conservative. You elected me, I went to work, and I KEPT MY WORD! I have championed strong election integrity measures, secure borders (including a real wall!), low taxes, safe neighborhoods, improved highways and transportation (repairing SR-69 and expanding I-17), and personal liberty. I’ve introduced pro-gun bills, voted pro-Constitution, pro-life, pro-school choice, and pro-Arizona. And I helped pass the largest tax cut in Arizona history. So why is a solid, conservative Republican facing a primary challenge? Because I’ve voted NO on bad bills when the Arizona establishment wanted me to vote yes. I’ve fought against government overreach and tried to restore your personal health care and religious freedoms when the “powers that be” wanted to continue mandating how we lived our lives and what medicines we had to take. I’ve been called one of Arizona’s most consistent and thoughtful conservatives because I love my country, my state, and everyone who calls it home. If you want a proven America First patriot, then I ask for one of your two votes on November 8th. On behalf of my wonderful wife and children, THANK YOU!"
20,Selina Bliss,State Representative - District 1,Republican,Participating,View Info,www.SelinaBliss.com,www.sites.google.com/view/selinasbliss-com/donations,https://www.facebook.com/SelinaBlissLD1,https://twitter.com/SelinaBliss,https://www.linkedin.com/in/selina-bliss/,https://www.youtube.com/channel/UCyxu4tltqZWG_dANv_u-Nxg,"Doctorate in Nursing Education (Ph.D.), 2014, Capella University  Master of Science in Nursing (MS) 1992, Arizona State University  Bachelor of Science in Nursing (BSN) 1984, Arizona State University High School 1980, Prescott High School","I am running out of desire to have Arizona reach its full potential. As a life-long conservative Republican my priorities are protecting and defending the Constitution, promoting a strong border and election integrity, reducing the tax burden and government overregulation, maintaining fiscal responsibility and economic opportunity, upholding the right to bear arms, defending life, supporting our troops and families, and the protection of state rights. I am highly engaged with our community and volunteer for several political and civic organizations including the Yavapai County Republican Party, the State and National Federation of Republican Women, the Arizona State Rifle and Pistol Association, the Well-Armed Woman, and the Yavapai County Sheriff’s Office Search and Rescue. Having lived in this District since 1971, I have a deep respect for our rich history and am dedicated to protecting and strengthening Arizona. Through working as a nurse in our community, while teaching nursing at Yavapai College, I am accustomed to making a difference in the lives of others. I come from a long line of public servants in my family and am called to serve the community in which I was raised. I appreciate your support to help keep Arizona great!"
21,Jeanne Casteen,State Senator - District 2,Democratic,Traditional Funding,View Info,https://www.jeannecasteen.com,https://secure.actblue.com/donate/casteen-for-arizona-1,https://www.facebook.com/jc4az,https://twitter.com/JC4AZ,https://www.linkedin.com/in/jeanne-casteen-979a3b16/,,"I have been in Arizona my entire adult life, and from the minute I arrived, I loved the beauty of this state. I am a product of Arizona community colleges, with a bachelor's and master's degree from ASU. I have two adult children in their 20s who attended Arizona public schools. As an educator, I served as a union representative, content area leader, and served on my local school board. I serve as the executive director of a local nonprofit focused on advocacy and protecting the Constitution.","I am a parent, educator, and former school board president. As a middle school and high school teacher, I have seen firsthand how policies at the state level have created a two-tier education system that hurts entire communities. I first ran for my local school board ten years ago because I realized that if I wanted to truly make a difference in my students' lives, I needed to get involved in policy and governance. I believe that every child deserves access to an excellent public education, and that their families should have access to fair wages, clean air, and affordable housing. For too long, elected leadership in Arizona has ignored the needs of working class families, and has increasingly promoted extremist policies designed to game the system for a select few. Arizona deserves elected leaders who will fight for the needs of everyday people and promote the common good. "
22,Steve Kaiser,State Senator - District 2,Republican,Traditional Funding,View Info,https://www.steve4az.com,https://www.steve4az.com/donate,https://www.facebook.com/steveforaz,,,,,"What an amazing state we live in! Breathtaking beauty, affordability and economic growth are all reasons why I choose to live in Arizona with my wife and three boys. I’m a small business owner and a veteran dedicated to preserving Arizona’s way of life and freedoms through this current crisis. I love this state, I know this district well, and I’m fighting for us! I grew up here, I attended public schools in PVUSD from Kindergarten to Senior year, and I’m an ASU graduate! Arizona deserves high-quality, high-performing schools and assurance that their child’s school is best for them and preparing them for the future. We need to put our parents and students first. Like Arizona’s teachers and frontline workers, I value service and self-sacrifice. I served eight years as a Captain in the U.S. Army, leading a team of Soldiers in Afghanistan in 2008. When I returned, I worked in retail, healthcare, nonprofit and government sectors. My experiences culminated in building my own small business—a local junk hauling and recycling company. I’ve lived a life blessed with service and hard work. I’m running to represent you again because I want to see every Arizonan succeed."
23,Christian Lamar,State Representative - District 2,Republican,Traditional Funding,View Info,https://www.christianforarizona.com,,https://www.facebook.com/christianllamar,https://twitter.com/christianllamar,,https://www.youtube.com/channel/UCW8jWvGGKMXC-UndIy6ftWg,"Christian's life began at Henry Ford hospital in Detroit, MI. He was raised by his father and mother, as their only son, the youngest of 3 children. Christian's journey to Maricopa County Phoenix, Arizona began in 2002.  His passion is Faith in God; the Constitution of the United States and as an IT (Information Technology) certified expert, blessed in his field 21 years. It was a blessing for Christian to begin his IT career in high school by volunteering at his home church serving the Lord.","I got involved in politics after witnessing how much President Donald J Trump included God in his political activities before he got elected, at Trump rallies, in the MAGA agenda, at the White House and while Trump implemented his policies. I voted for Trump twice, once in 2016 and 2020. I saw how the media attacked Trump in 2015, and God touched my heart leading me into politics. I began to study hundreds of US Supreme court cases, learned that our country has been taken from the People who are the citizens and I got involved by attending the 2018 annual meetings of the Arizona Republican Party and Maricopa County Republicans. When elected, I will fight to ban dominion voting systems, ban duplicate ballots, require in-person verification for failed ballot signatures, allow Arizona citizens to take video/photos of any election worker, require body cams on all election workers, fight for Voter ID laws and correct 2020. I will protect our 1st amendment, our 2nd amendment, secure our southern border by finishing the wall, fight for Parental rights, protect unborn babies by being 100% pro-life and fight for American Jobs by putting American workers first! "
24,Judy Schwiebert,State Representative - District 2,Democratic,Traditional Funding,View Info,https://www.judyforaz.com,https://secure.actblue.com/donate/JudyForAZ,https://www.facebook.com/JudyForAZ,https://twitter.com/JudyForAZ,,https://www.youtube.com/channel/UCStil0xAN39-1P5-0xAy0Ag/featured,"Judy Schwiebert has spent her life in LD2 as the mom of two sons, a teacher for 27 years at Cactus and Greenway High Schools, and a community leader. A teacher, co-founder of Theater Works, church board member, and grassroots organizer, she was moved to run for office when she learned that almost 25% of Arizona students now have no permanent, qualified teacher. Like parents and business leaders, she knows that Investing in our public schools allows everyone to thrive. ","I’ve spent my life in LD2 as the mom of two sons, a teacher for 27 years at Cactus and Greenway High Schools, and a community leader. I know and share the priorities of our district. This is my home.  As a teacher, co-founder of Theater Works, church board member, community center director, and leader of a non-partisan group, I’ve learned powerful lessons about how listening and working together gives everyone a chance to succeed.  I was deeply honored that you elected me as your representative to the State House in 2020, where I've listened and worked together to address the issues that are important to you and your family. I’ve helped direct federal dollars to preschool programs for at-risk children and families. I sponsored a bi-partisan adult education bill to allow Arizonans to lift themselves out of poverty and provide employers with an educated workforce. I voted to invest over $1 billion in our neighborhood schools that the majority of families choose.I share your priorities including investing in our public schools, creating good-paying jobs, addressing our housing, water and healthcare crises, and protecting our freedom to vote. I will always put people first, not politics."
25,Justin Wilmeth,State Representative - District 2,Republican,Traditional Funding,View Info,www.justinwilmethaz.com,https://secure.anedot.com/vote-wilmeth/donate,www.facebook.com/justinwilmethaz,www.twitter.com/justinwilmethaz,,https://www.youtube.com/channel/UC-DGDOHu3cSFyLU5L6aLx6g,,"Howdy Arizona! I’ve had the honor to serve in the Arizona House of Representatives for the past two years. I spent that time fighting to keep the cost of living down and preserving Arizona’s legacy of prosperity and innovation. In 2021, I had more bills signed into law than any other first-year freshman in modern state history. I'm very proud to be an effective Legislator for our district — you can count on me to get the job done. I’ve had the privilege to serve as the Vice Chairman of the Transportation Committee working to improve transportation infrastructure. I was also a member of the Commerce Committee and Health Committee. I've dedicated my career to serving others through effective public policy solutions, working a combined 12 years at two different state legislatures, including here in Arizona, where I was a policy staffer for the Republican Caucus. I also worked at Americans for Prosperity, a conservative organization focused on lowering taxes, cutting regulations, and shrinking government overreach. I'm running again to ensure our great state survives the crises we are facing and continues to be a great place to live, work, and play! I look forward to earning your support."
